
2020-03-15T05:30:45.705464Z	   94 Query	show create table `product`
2020-03-15T05:30:45.705735Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.705904Z	   94 Query	show fields from `product`
2020-03-15T05:30:45.706729Z	   94 Query	show fields from `product`
2020-03-15T05:30:45.707672Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `product`
2020-03-15T05:30:45.708495Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.708857Z	   94 Query	use `zst`
2020-03-15T05:30:45.709684Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.710588Z	   94 Query	SHOW TRIGGERS LIKE 'product'
2020-03-15T05:30:45.711396Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.711748Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.712352Z	   94 Query	show table status like 't'
2020-03-15T05:30:45.713274Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.713698Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.713856Z	   94 Query	show create table `t`
2020-03-15T05:30:45.714090Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.714321Z	   94 Query	show fields from `t`
2020-03-15T05:30:45.714792Z	   94 Query	show fields from `t`
2020-03-15T05:30:45.715206Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t`
2020-03-15T05:30:45.715673Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.715863Z	   94 Query	use `zst`
2020-03-15T05:30:45.716088Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.716442Z	   94 Query	SHOW TRIGGERS LIKE 't'
2020-03-15T05:30:45.717077Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.717352Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.717729Z	   94 Query	show table status like 't1'
2020-03-15T05:30:45.718336Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
