sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 10
Report intermediate results every 10 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[ 460s] threads: 10, tps: 868.66, reads: 12160.49, writes: 3474.75, response time: 30.09ms (99%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 10, tps: 894.00, reads: 12513.05, writes: 3575.11, response time: 29.79ms (99%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 10, tps: 928.10, reads: 12998.36, writes: 3712.89, response time: 28.63ms (99%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 10, tps: 845.00, reads: 11829.61, writes: 3379.90, response time: 30.58ms (99%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 10, tps: 857.70, reads: 12005.86, writes: 3430.92, response time: 31.18ms (99%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 10, tps: 877.65, reads: 12292.18, writes: 3510.89, response time: 27.50ms (99%), errors: 0.10, reconnects:  0.00
[ 520s] threads: 10, tps: 970.55, reads: 13586.24, writes: 3882.08, response time: 27.86ms (99%), errors: 0.10, reconnects:  0.00
[ 530s] threads: 10, tps: 905.21, reads: 12673.74, writes: 3621.24, response time: 28.93ms (99%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 10, tps: 925.09, reads: 12951.57, writes: 3699.76, response time: 27.18ms (99%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 10, tps: 942.47, reads: 13194.13, writes: 3769.77, response time: 28.07ms (99%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 10, tps: 918.73, reads: 12862.19, writes: 3675.64, response time: 28.36ms (99%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 10, tps: 887.89, reads: 12430.40, writes: 3551.47, response time: 30.54ms (99%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 10, tps: 898.20, reads: 12574.41, writes: 3592.60, response time: 32.35ms (99%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 10, tps: 930.36, reads: 13028.48, writes: 3721.22, response time: 26.35ms (99%), errors: 0.10, reconnects:  0.00
